month,intake,confiscated,returned,stray,surrendered_by_owner,transfer_in_out_of_state,transfer_in_within_state,impounded,born_in_shelter,doa,adopted,died_in_custody,euthanized,lost_missing_unaccounted_for,other_outcome,owner_requested_euthanasia,reclaimed_by_owner,released_in_field_tnr,transfer_out_out_of_state,transfer out_within_state,total_outcomes
2018-09,342,0,1,214,127,0,0,0,0,0,54,4,274,0,15,1,1,0,9,18,376
2018-08,347,12,3,241,91,0,0,0,0,0,62,12,202,1,34,2,2,5,11,3,334
2018-07,305,14,3,201,87,0,0,0,0,0,71,9,163,0,19,3,5,2,0,11,283
2018-06,445,2,5,254,184,0,0,0,0,0,103,25,291,1,8,3,2,17,9,6,465
2018-05,440,6,1,347,86,0,0,0,0,0,62,9,197,1,6,0,1,26,3,11,316
2018-04,296,2,2,218,74,0,0,0,0,0,38,2,123,0,4,0,2,2,36,9,216
2018-03,166,0,2,105,59,0,0,0,0,0,44,2,98,0,2,4,1,1,21,16,189
2018-02,163,0,2,118,43,0,0,0,0,0,45,2,45,0,3,1,4,3,29,5,137
2018-01,132,6,0,78,48,0,0,0,0,0,58,2,60,0,1,2,3,0,20,0,146
2017-12,164,0,4,103,57,0,0,0,0,0,75,1,96,0,0,3,0,0,3,0,178
2017-11,247,3,1,149,77,0,0,17,0,0,58,16,192,0,0,3,2,0,0,33,304
2017-10,324,0,0,228,77,0,0,18,1,0,77,28,209,0,0,10,1,0,0,9,334
2017-09,326,8,0,230,78,0,0,10,0,0,50,35,314,0,0,3,3,0,0,3,408
2017-08,424,3,0,278,82,0,0,61,0,0,25,27,287,0,0,3,1,0,0,17,360
2017-07,380,9,0,299,55,0,0,17,0,0,28,10,256,0,0,2,1,0,0,14,311
2017-06,367,13,0,233,80,0,0,41,0,0,32,11,297,1,0,7,4,0,0,21,373
2017-05,553,0,0,348,181,0,0,24,0,0,36,16,284,0,0,9,4,0,0,103,452
2017-04,223,2,5,155,39,0,0,22,0,0,30,3,78,0,0,1,3,0,0,32,147
2017-03,177,6,2,92,46,0,0,31,0,0,65,5,72,3,0,2,3,4,0,58,212
2017-02,181,1,3,132,31,0,0,14,0,0,51,1,65,0,0,5,2,0,67,0,191
2017-01,169,0,2,104,44,0,0,19,0,0,58,,54,0,0,2,6,13,0,20,153
2016-12,203,6,3,91,71,0,4,28,0,0,68,6,90,0,0,5,5,4,0,53,231
2016-11,246,2,1,136,69,0,0,38,0,0,34,11,193,2,0,8,2,6,0,27,283
2016-10,264,1,0,132,105,0,0,24,0,2,60,8,122,13,0,17,4,2,0,48,274
2016-09,223,1,0,121,65,0,0,35,1,0,56,25,112,6,0,1,2,4,0,29,235
2016-08,273,0,0,133,117,0,0,23,0,0,63,19,142,0,0,0,4,0,0,22,250
2016-07,322,5,0,203,68,0,6,40,0,0,57,11,232,1,0,9,1,0,0,20,331
2016-06,258,6,0,114,94,0,2,42,0,0,75,27,278,9,0,8,6,0,0,23,426
2016-05,466,1,0,344,65,0,0,56,0,0,52,15,342,11,0,2,2,0,0,61,485
2016-04,368,2,6,216,92,0,0,52,0,0,49,7,138,15,0,0,6,0,0,50,265
2016-03,267,7,4,128,84,0,0,44,0,0,70,6,138,0,0,0,3,0,0,13,230
2016-02,224,3,3,107,58,0,0,53,0,0,69,2,130,0,0,1,3,0,0,31,236
2016-01,269,1,10,128,87,0,0,43,0,0,89,5,138,25,0,5,2,0,0,13,277
2015-12,270,1,7,137,89,0,0,36,0,0,90,13,206,0,0,0,8,0,0,8,325
2015-11,379,2,3,206,117,0,3,48,0,0,61,8,274,0,0,1,6,0,0,6,356
2015-10,550,15,0,413,92,0,0,28,0,2,63,10,495,1,0,2,11,0,0,3,585
2015-09,561,3,0,268,190,12,0,88,0,0,69,14,427,0,0,1,14,0,0,12,537
2015-08,495,3,0,271,131,0,4,86,0,0,69,6,341,2,0,3,4,0,0,26,451
2015-07,429,26,0,242,78,0,0,83,0,0,75,1,306,2,0,4,6,0,0,43,437
2015-06,653,1,0,380,167,0,3,95,7,0,60,17,516,0,0,1,6,0,0,0,600
2015-05,677,17,0,411,159,0,2,88,0,0,70,3,583,0,0,2,5,0,0,12,675
2015-04,485,0,6,236,100,0,0,143,0,0,64,20,342,0,0,2,2,0,0,15,445
2015-03,312,0,1,114,69,0,0,128,0,0,52,19,229,0,0,0,11,0,0,34,345
2015-02,181,2,4,97,49,0,0,29,0,0,49,3,134,0,0,2,1,0,0,2,191
2015-01,211,8,3,102,48,0,0,50,0,0,50,1,163,0,0,1,3,0,0,0,218
2014-12,358,57,3,122,110,0,1,65,0,0,78,7,289,0,0,5,4,0,0,6,389
2014-11,330,2,4,144,134,1,1,44,0,0,58,5,291,0,0,0,8,0,0,1,363
2014-10,448,1,0,223,148,0,0,71,0,5,74,10,332,0,0,1,3,0,0,7,427
2014-09,391,30,0,178,121,0,0,62,0,0,48,4,258,0,0,4,4,0,0,10,328
2014-08,449,7,0,217,119,0,0,101,5,0,107,4,354,0,0,3,2,0,0,8,478
2014-07,510,0,0,213,199,0,0,98,0,0,154,4,397,0,0,8,8,0,6,2,579
2014-06,566,120,0,213,113,0,0,120,0,0,85,11,486,2,0,20,4,0,0,1,609
2014-05,603,0,0,293,186,0,0,124,0,0,62,4,361,1,0,9,10,0,0,0,447
2014-04,427,7,0,185,131,0,0,104,0,0,68,0,285,0,0,3,2,0,0,3,361
2014-03,251,0,0,142,61,0,0,48,0,0,39,1,178,0,0,10,2,0,0,2,232
2014-02,231,0,0,131,63,0,0,37,0,0,94,2,124,2,0,6,1,0,0,4,233
2014-01,180,1,0,81,65,0,1,32,0,0,53,2,106,0,0,0,2,0,0,10,173
2013-12,235,1,0,85,104,0,0,45,0,0,89,0,161,0,0,3,3,0,0,13,269
2013-11,275,3,0,116,78,0,0,78,0,0,41,5,224,1,0,4,4,0,0,10,289
2013-10,462,10,0,178,177,0,0,97,0,0,95,5,308,0,0,6,5,0,0,25,444